"unit","age","ord_brth","geo","time","values","perc","countryname","region"
"NR",19,"1","PT",2005,1776,3,"Portugal","Southern Europe"
"NR",19,"1","RO",2005,6620,5.9,"Roumania","Eastern Europe"
"NR",20,"1","AT",2005,1507,4.2,"Austria","Western Europe"
"NR",20,"1","BE",2005,1578,2.9,"Belgium","Western Europe"
"NR",20,"1","BG",2005,2629,6.5,"Bulgaria","Eastern Europe"
"NR",20,"1","CZ",2005,1811,3.6,"Czechia","Eastern Europe"
"NR",20,"1","EE",2005,491,7.1,"Estonia","Eastern Europe"
"NR",20,"1","EL",2005,1403,2.8,"Greece","Southern Europe"
"NR",20,"1","ES",2005,5074,2,"Spain","Southern Europe"
"NR",20,"1","HU",2005,1565,3.5,"Hungary","Eastern Europe"
"NR",20,"1","NL",2005,1709,2,"Netherlands","Western Europe"
"NR",20,"1","PL",2005,11467,6.2,"Poland","Eastern Europe"
"NR",20,"1","PT",2005,1898,3.2,"Portugal","Southern Europe"
"NR",20,"1","RO",2005,7185,6.4,"Roumania","Eastern Europe"
"NR",21,"1","AT",2005,1726,4.8,"Austria","Western Europe"
"NR",21,"1","BE",2005,1983,3.7,"Belgium","Western Europe"
"NR",21,"1","BG",2005,2841,7.1,"Bulgaria","Eastern Europe"
"NR",21,"1","CZ",2005,2055,4.1,"Czechia","Eastern Europe"
"NR",21,"1","EE",2005,539,7.8,"Estonia","Eastern Europe"
"NR",21,"1","EL",2005,1580,3.1,"Greece","Southern Europe"
"NR",21,"1","ES",2005,5549,2.1,"Spain","Southern Europe"
"NR",21,"1","HU",2005,1589,3.5,"Hungary","Eastern Europe"
"NR",21,"1","NL",2005,2144,2.5,"Netherlands","Western Europe"
"NR",21,"1","PL",2005,13276,7.1,"Poland","Eastern Europe"
"NR",21,"1","PT",2005,2190,3.7,"Portugal","Southern Europe"
"NR",21,"1","RO",2005,6618,5.9,"Roumania","Eastern Europe"
"NR",22,"1","AT",2005,1851,5.1,"Austria","Western Europe"
"NR",22,"1","BE",2005,2265,4.2,"Belgium","Western Europe"
