"unit","age","ord_brth","geo","time","values","perc","countryname","region"
"NR",22,"1","ES",2018,3555,2,"Spain","Southern Europe"
"NR",22,"1","HU",2018,1283,3.1,"Hungary","Eastern Europe"
"NR",22,"1","NL",2018,1771,2.3,"Netherlands","Western Europe"
"NR",22,"1","PL",2018,6723,4.1,"Poland","Eastern Europe"
"NR",22,"1","PT",2018,1301,2.9,"Portugal","Southern Europe"
"NR",22,"1","RO",2018,4463,4.2,"Roumania","Eastern Europe"
"NR",23,"1","AT",2018,1621,4,"Austria","Western Europe"
"NR",23,"1","BE",2018,1818,3.6,"Belgium","Western Europe"
"NR",23,"1","BG",2018,1311,4.3,"Bulgaria","Eastern Europe"
"NR",23,"1","CZ",2018,1941,3.5,"Czechia","Eastern Europe"
"NR",23,"1","EE",2018,232,4.4,"Estonia","Eastern Europe"
"NR",23,"1","EL",2018,1034,2.6,"Greece","Southern Europe"
"NR",23,"1","ES",2018,3860,2.1,"Spain","Southern Europe"
"NR",23,"1","HU",2018,1472,3.6,"Hungary","Eastern Europe"
"NR",23,"1","NL",2018,2332,3.1,"Netherlands","Western Europe"
"NR",23,"1","PL",2018,7956,4.8,"Poland","Eastern Europe"
"NR",23,"1","PT",2018,1365,3.1,"Portugal","Southern Europe"
"NR",23,"1","RO",2018,4905,4.6,"Roumania","Eastern Europe"
"NR",24,"1","AT",2018,1920,4.8,"Austria","Western Europe"
"NR",24,"1","BE",2018,2364,4.7,"Belgium","Western Europe"
"NR",24,"1","BG",2018,1631,5.4,"Bulgaria","Eastern Europe"
"NR",24,"1","CZ",2018,2741,5,"Czechia","Eastern Europe"
"NR",24,"1","EE",2018,254,4.8,"Estonia","Eastern Europe"
"NR",24,"1","EL",2018,1227,3,"Greece","Southern Europe"
"NR",24,"1","ES",2018,4390,2.4,"Spain","Southern Europe"
"NR",24,"1","HU",2018,1775,4.3,"Hungary","Eastern Europe"
"NR",24,"1","NL",2018,3172,4.2,"Netherlands","Western Europe"
"NR",24,"1","PL",2018,9651,5.8,"Poland","Eastern Europe"
"NR",24,"1","PT",2018,1536,3.5,"Portugal","Southern Europe"
"NR",24,"1","RO",2018,5432,5.1,"Roumania","Eastern Europe"
"NR",25,"1","AT",2018,2254,5.6,"Austria","Western Europe"
"NR",25,"1","BE",2018,3033,6,"Belgium","Western Europe"
"NR",25,"1","BG",2018,1867,6.1,"Bulgaria","Eastern Europe"
"NR",25,"1","CZ",2018,3343,6.1,"Czechia","Eastern Europe"
"NR",25,"1","EE",2018,367,7,"Estonia","Eastern Europe"
"NR",25,"1","EL",2018,1440,3.6,"Greece","Southern Europe"
"NR",25,"1","ES",2018,5182,2.9,"Spain","Southern Europe"
"NR",25,"1","HU",2018,2024,4.9,"Hungary","Eastern Europe"
"NR",25,"1","NL",2018,4006,5.3,"Netherlands","Western Europe"
"NR",25,"1","PL",2018,11588,7,"Poland","Eastern Europe"
"NR",25,"1","PT",2018,1909,4.3,"Portugal","Southern Europe"
"NR",25,"1","RO",2018,5956,5.6,"Roumania","Eastern Europe"
"NR",26,"1","AT",2018,2572,6.4,"Austria","Western Europe"
"NR",26,"1","BE",2018,3894,7.7,"Belgium","Western Europe"
"NR",26,"1","BG",2018,2096,6.9,"Bulgaria","Eastern Europe"
"NR",26,"1","CZ",2018,3788,6.9,"Czechia","Eastern Europe"
"NR",26,"1","EE",2018,418,7.9,"Estonia","Eastern Europe"
"NR",26,"1","EL",2018,1702,4.2,"Greece","Southern Europe"
"NR",26,"1","ES",2018,6177,3.4,"Spain","Southern Europe"
"NR",26,"1","HU",2018,2337,5.7,"Hungary","Eastern Europe"
"NR",26,"1","NL",2018,5194,6.9,"Netherlands","Western Europe"
